title,text,label
News Article Title 107,This is the content of the news article 107. It discusses various topics and is either real or fake.,Real
News Article Title 108,This is the content of the news article 108. It discusses various topics and is either real or fake.,Real
News Article Title 109,This is the content of the news article 109. It discusses various topics and is either real or fake.,Fake
News Article Title 110,This is the content of the news article 110. It discusses various topics and is either real or fake.,Real
News Article Title 111,This is the content of the news article 111. It discusses various topics and is either real or fake.,Fake
News Article Title 112,This is the content of the news article 112. It discusses various topics and is either real or fake.,Real
News Article Title 113,This is the content of the news article 113. It discusses various topics and is either real or fake.,Real
News Article Title 114,This is the content of the news article 114. It discusses various topics and is either real or fake.,Fake
News Article Title 115,This is the content of the news article 115. It discusses various topics and is either real or fake.,Real
News Article Title 116,This is the content of the news article 116. It discusses various topics and is either real or fake.,Fake
News Article Title 117,This is the content of the news article 117. It discusses various topics and is either real or fake.,Real
News Article Title 118,This is the content of the news article 118. It discusses various topics and is either real or fake.,Real
News Article Title 119,This is the content of the news article 119. It discusses various topics and is either real or fake.,Fake
News Article Title 120,This is the content of the news article 120. It discusses various topics and is either real or fake.,Real
News Article Title 121,This is the content of the news article 121. It discusses various topics and is either real or fake.,Fake
News Article Title 122,This is the content of the news article 122. It discusses various topics and is either real or fake.,Real
News Article Title 123,This is the content of the news article 123. It discusses various topics and is either real or fake.,Fake
News Article Title 124,This is the content of the news article 124. It discusses various topics and is either real or fake.,Fake
News Article Title 125,This is the content of the news article 125. It discusses various topics and is either real or fake.,Real
News Article Title 126,This is the content of the news article 126. It discusses various topics and is either real or fake.,Real
News Article Title 127,This is the content of the news article 127. It discusses various topics and is either real or fake.,Fake
News Article Title 128,This is the content of the news article 128. It discusses various topics and is either real or fake.,Real
News Article Title 129,This is the content of the news article 129. It discusses various topics and is either real or fake.,Real
News Article Title 130,This is the content of the news article 130. It discusses various topics and is either real or fake.,Real
News Article Title 131,This is the content of the news article 131. It discusses various topics and is either real or fake.,Fake
News Article Title 132,This is the content of the news article 132. It discusses various topics and is either real or fake.,Fake
News Article Title 133,This is the content of the news article 133. It discusses various topics and is either real or fake.,Fake
News Article Title 134,This is the content of the news article 134. It discusses various topics and is either real or fake.,Fake
News Article Title 135,This is the content of the news article 135. It discusses various topics and is either real or fake.,Fake
News Article Title 136,This is the content of the news article 136. It discusses various topics and is either real or fake.,Fake
News Article Title 137,This is the content of the news article 137. It discusses various topics and is either real or fake.,Fake
News Article Title 138,This is the content of the news article 138. It discusses various topics and is either real or fake.,Fake
News Article Title 139,This is the content of the news article 139. It discusses various topics and is either real or fake.,Fake
News Article Title 140,This is the content of the news article 140. It discusses various topics and is either real or fake.,Real
News Article Title 141,This is the content of the news article 141. It discusses various topics and is either real or fake.,Fake
News Article Title 142,This is the content of the news article 142. It discusses various topics and is either real or fake.,Real
News Article Title 143,This is the content of the news article 143. It discusses various topics and is either real or fake.,Real
News Article Title 144,This is the content of the news article 144. It discusses various topics and is either real or fake.,Real
News Article Title 145,This is the content of the news article 145. It discusses various topics and is either real or fake.,Fake
News Article Title 146,This is the content of the news article 146. It discusses various topics and is either real or fake.,Fake
News Article Title 147,This is the content of the news article 147. It discusses various topics and is either real or fake.,Fake
News Article Title 148,This is the content of the news article 148. It discusses various topics and is either real or fake.,Fake
News Article Title 149,This is the content of the news article 149. It discusses various topics and is either real or fake.,Real
News Article Title 150,This is the content of the news article 150. It discusses various topics and is either real or fake.,Fake
News Article Title 151,This is the content of the news article 151. It discusses various topics and is either real or fake.,Fake
News Article Title 152,This is the content of the news article 152. It discusses various topics and is either real or fake.,Fake
News Article Title 153,This is the content of the news article 153. It discusses various topics and is either real or fake.,Fake
News Article Title 154,This is the content of the news article 154. It discusses various topics and is either real or fake.,Fake
News Article Title 155,This is the content of the news article 155. It discusses various topics and is either real or fake.,Real
News Article Title 156,This is the content of the news article 156. It discusses various topics and is either real or fake.,Fake
News Article Title 157,This is the content of the news article 157. It discusses various topics and is either real or fake.,Real
News Article Title 158,This is the content of the news article 158. It discusses various topics and is either real or fake.,Fake
News Article Title 159,This is the content of the news article 159. It discusses various topics and is either real or fake.,Real
News Article Title 160,This is the content of the news article 160. It discusses various topics and is either real or fake.,Fake
News Article Title 161,This is the content of the news article 161. It discusses various topics and is either real or fake.,Fake
News Article Title 162,This is the content of the news article 162. It discusses various topics and is either real or fake.,Real
News Article Title 163,This is the content of the news article 163. It discusses various topics and is either real or fake.,Real
News Article Title 164,This is the content of the news article 164. It discusses various topics and is either real or fake.,Real
News Article Title 165,This is the content of the news article 165. It discusses various topics and is either real or fake.,Fake
News Article Title 166,This is the content of the news article 166. It discusses various topics and is either real or fake.,Real
News Article Title 167,This is the content of the news article 167. It discusses various topics and is either real or fake.,Fake
News Article Title 168,This is the content of the news article 168. It discusses various topics and is either real or fake.,Fake
News Article Title 169,This is the content of the news article 169. It discusses various topics and is either real or fake.,Real
News Article Title 170,This is the content of the news article 170. It discusses various topics and is either real or fake.,Real
News Article Title 171,This is the content of the news article 171. It discusses various topics and is either real or fake.,Fake
News Article Title 172,This is the content of the news article 172. It discusses various topics and is either real or fake.,Fake
News Article Title 173,This is the content of the news article 173. It discusses various topics and is either real or fake.,Real
News Article Title 174,This is the content of the news article 174. It discusses various topics and is either real or fake.,Real
News Article Title 175,This is the content of the news article 175. It discusses various topics and is either real or fake.,Real
News Article Title 176,This is the content of the news article 176. It discusses various topics and is either real or fake.,Fake
News Article Title 177,This is the content of the news article 177. It discusses various topics and is either real or fake.,Fake
News Article Title 178,This is the content of the news article 178. It discusses various topics and is either real or fake.,Fake
News Article Title 179,This is the content of the news article 179. It discusses various topics and is either real or fake.,Fake
News Article Title 180,This is the content of the news article 180. It discusses various topics and is either real or fake.,Fake
News Article Title 181,This is the content of the news article 181. It discusses various topics and is either real or fake.,Fake
News Article Title 182,This is the content of the news article 182. It discusses various topics and is either real or fake.,Real
News Article Title 183,This is the content of the news article 183. It discusses various topics and is either real or fake.,Fake
News Article Title 184,This is the content of the news article 184. It discusses various topics and is either real or fake.,Fake
News Article Title 185,This is the content of the news article 185. It discusses various topics and is either real or fake.,Fake
News Article Title 186,This is the content of the news article 186. It discusses various topics and is either real or fake.,Real
News Article Title 187,This is the content of the news article 187. It discusses various topics and is either real or fake.,Fake
News Article Title 188,This is the content of the news article 188. It discusses various topics and is either real or fake.,Fake
News Article Title 189,This is the content of the news article 189. It discusses various topics and is either real or fake.,Real
News Article Title 190,This is the content of the news article 190. It discusses various topics and is either real or fake.,Fake
News Article Title 191,This is the content of the news article 191. It discusses various topics and is either real or fake.,Fake
News Article Title 192,This is the content of the news article 192. It discusses various topics and is either real or fake.,Fake
News Article Title 193,This is the content of the news article 193. It discusses various topics and is either real or fake.,Fake
News Article Title 194,This is the content of the news article 194. It discusses various topics and is either real or fake.,Fake
News Article Title 195,This is the content of the news article 195. It discusses various topics and is either real or fake.,Real
News Article Title 196,This is the content of the news article 196. It discusses various topics and is either real or fake.,Real
News Article Title 197,This is the content of the news article 197. It discusses various topics and is either real or fake.,Real
News Article Title 198,This is the content of the news article 198. It discusses various topics and is either real or fake.,Fake
News Article Title 199,This is the content of the news article 199. It discusses various topics and is either real or fake.,Fake
News Article Title 200,This is the content of the news article 200. It discusses various topics and is either real or fake.,Fake
News Article Title 201,This is the content of the news article 201. It discusses various topics and is either real or fake.,Real
News Article Title 202,This is the content of the news article 202. It discusses various topics and is either real or fake.,Fake
News Article Title 203,This is the content of the news article 203. It discusses various topics and is either real or fake.,Fake
News Article Title 204,This is the content of the news article 204. It discusses various topics and is either real or fake.,Real
News Article Title 205,This is the content of the news article 205. It discusses various topics and is either real or fake.,Fake
News Article Title 206,This is the content of the news article 206. It discusses various topics and is either real or fake.,Real
News Article Title 207,This is the content of the news article 207. It discusses various topics and is either real or fake.,Real
News Article Title 208,This is the content of the news article 208. It discusses various topics and is either real or fake.,Real
News Article Title 209,This is the content of the news article 209. It discusses various topics and is either real or fake.,Fake
News Article Title 210,This is the content of the news article 210. It discusses various topics and is either real or fake.,Fake
News Article Title 211,This is the content of the news article 211. It discusses various topics and is either real or fake.,Fake
News Article Title 212,This is the content of the news article 212. It discusses various topics and is either real or fake.,Fake
News Article Title 213,This is the content of the news article 213. It discusses various topics and is either real or fake.,Fake
News Article Title 214,This is the content of the news article 214. It discusses various topics and is either real or fake.,Fake
News Article Title 215,This is the content of the news article 215. It discusses various topics and is either real or fake.,Fake
News Article Title 216,This is the content of the news article 216. It discusses various topics and is either real or fake.,Real
News Article Title 217,This is the content of the news article 217. It discusses various topics and is either real or fake.,Fake
News Article Title 218,This is the content of the news article 218. It discusses various topics and is either real or fake.,Real
News Article Title 219,This is the content of the news article 219. It discusses various topics and is either real or fake.,Fake
News Article Title 220,This is the content of the news article 220. It discusses various topics and is either real or fake.,Fake
News Article Title 221,This is the content of the news article 221. It discusses various topics and is either real or fake.,Fake
News Article Title 222,This is the content of the news article 222. It discusses various topics and is either real or fake.,Real
News Article Title 223,This is the content of the news article 223. It discusses various topics and is either real or fake.,Real
News Article Title 224,This is the content of the news article 224. It discusses various topics and is either real or fake.,Real
News Article Title 225,This is the content of the news article 225. It discusses various topics and is either real or fake.,Real
News Article Title 226,This is the content of the news article 226. It discusses various topics and is either real or fake.,Fake
News Article Title 227,This is the content of the news article 227. It discusses various topics and is either real or fake.,Real
News Article Title 228,This is the content of the news article 228. It discusses various topics and is either real or fake.,Fake
News Article Title 229,This is the content of the news article 229. It discusses various topics and is either real or fake.,Fake
News Article Title 230,This is the content of the news article 230. It discusses various topics and is either real or fake.,Real
News Article Title 231,This is the content of the news article 231. It discusses various topics and is either real or fake.,Real
News Article Title 232,This is the content of the news article 232. It discusses various topics and is either real or fake.,Real
News Article Title 233,This is the content of the news article 233. It discusses various topics and is either real or fake.,Real
News Article Title 234,This is the content of the news article 234. It discusses various topics and is either real or fake.,Real
News Article Title 235,This is the content of the news article 235. It discusses various topics and is either real or fake.,Real
News Article Title 236,This is the content of the news article 236. It discusses various topics and is either real or fake.,Real
News Article Title 237,This is the content of the news article 237. It discusses various topics and is either real or fake.,Real
News Article Title 238,This is the content of the news article 238. It discusses various topics and is either real or fake.,Fake
News Article Title 239,This is the content of the news article 239. It discusses various topics and is either real or fake.,Real
News Article Title 240,This is the content of the news article 240. It discusses various topics and is either real or fake.,Real
News Article Title 241,This is the content of the news article 241. It discusses various topics and is either real or fake.,Fake
News Article Title 242,This is the content of the news article 242. It discusses various topics and is either real or fake.,Real
News Article Title 243,This is the content of the news article 243. It discusses various topics and is either real or fake.,Fake
News Article Title 244,This is the content of the news article 244. It discusses various topics and is either real or fake.,Fake
News Article Title 245,This is the content of the news article 245. It discusses various topics and is either real or fake.,Real
News Article Title 246,This is the content of the news article 246. It discusses various topics and is either real or fake.,Fake
News Article Title 247,This is the content of the news article 247. It discusses various topics and is either real or fake.,Fake
News Article Title 248,This is the content of the news article 248. It discusses various topics and is either real or fake.,Fake
News Article Title 249,This is the content of the news article 249. It discusses various topics and is either real or fake.,Fake
News Article Title 250,This is the content of the news article 250. It discusses various topics and is either real or fake.,Real
News Article Title 251,This is the content of the news article 251. It discusses various topics and is either real or fake.,Fake
News Article Title 252,This is the content of the news article 252. It discusses various topics and is either real or fake.,Real
News Article Title 253,This is the content of the news article 253. It discusses various topics and is either real or fake.,Fake
News Article Title 254,This is the content of the news article 254. It discusses various topics and is either real or fake.,Fake
News Article Title 255,This is the content of the news article 255. It discusses various topics and is either real or fake.,Fake
News Article Title 256,This is the content of the news article 256. It discusses various topics and is either real or fake.,Fake
News Article Title 257,This is the content of the news article 257. It discusses various topics and is either real or fake.,Real
News Article Title 258,This is the content of the news article 258. It discusses various topics and is either real or fake.,Real
News Article Title 259,This is the content of the news article 259. It discusses various topics and is either real or fake.,Fake
News Article Title 260,This is the content of the news article 260. It discusses various topics and is either real or fake.,Fake
News Article Title 261,This is the content of the news article 261. It discusses various topics and is either real or fake.,Real
News Article Title 262,This is the content of the news article 262. It discusses various topics and is either real or fake.,Fake
News Article Title 263,This is the content of the news article 263. It discusses various topics and is either real or fake.,Fake
News Article Title 264,This is the content of the news article 264. It discusses various topics and is either real or fake.,Fake
News Article Title 265,This is the content of the news article 265. It discusses various topics and is either real or fake.,Real
News Article Title 266,This is the content of the news article 266. It discusses various topics and is either real or fake.,Real
News Article Title 267,This is the content of the news article 267. It discusses various topics and is either real or fake.,Real
News Article Title 268,This is the content of the news article 268. It discusses various topics and is either real or fake.,Fake
News Article Title 269,This is the content of the news article 269. It discusses various topics and is either real or fake.,Fake
News Article Title 270,This is the content of the news article 270. It discusses various topics and is either real or fake.,Real
News Article Title 271,This is the content of the news article 271. It discusses various topics and is either real or fake.,Real
News Article Title 272,This is the content of the news article 272. It discusses various topics and is either real or fake.,Real
News Article Title 273,This is the content of the news article 273. It discusses various topics and is either real or fake.,Real
News Article Title 274,This is the content of the news article 274. It discusses various topics and is either real or fake.,Fake
News Article Title 275,This is the content of the news article 275. It discusses various topics and is either real or fake.,Real
News Article Title 276,This is the content of the news article 276. It discusses various topics and is either real or fake.,Fake
News Article Title 277,This is the content of the news article 277. It discusses various topics and is either real or fake.,Real
News Article Title 278,This is the content of the news article 278. It discusses various topics and is either real or fake.,Fake
News Article Title 279,This is the content of the news article 279. It discusses various topics and is either real or fake.,Real
News Article Title 280,This is the content of the news article 280. It discusses various topics and is either real or fake.,Real
News Article Title 281,This is the content of the news article 281. It discusses various topics and is either real or fake.,Real
News Article Title 282,This is the content of the news article 282. It discusses various topics and is either real or fake.,Real
News Article Title 283,This is the content of the news article 283. It discusses various topics and is either real or fake.,Fake
News Article Title 284,This is the content of the news article 284. It discusses various topics and is either real or fake.,Real
News Article Title 285,This is the content of the news article 285. It discusses various topics and is either real or fake.,Fake
News Article Title 286,This is the content of the news article 286. It discusses various topics and is either real or fake.,Fake
News Article Title 287,This is the content of the news article 287. It discusses various topics and is either real or fake.,Fake
News Article Title 288,This is the content of the news article 288. It discusses various topics and is either real or fake.,Fake
News Article Title 289,This is the content of the news article 289. It discusses various topics and is either real or fake.,Real
News Article Title 290,This is the content of the news article 290. It discusses various topics and is either real or fake.,Fake
News Article Title 291,This is the content of the news article 291. It discusses various topics and is either real or fake.,Fake
News Article Title 292,This is the content of the news article 292. It discusses various topics and is either real or fake.,Fake
News Article Title 293,This is the content of the news article 293. It discusses various topics and is either real or fake.,Real
News Article Title 294,This is the content of the news article 294. It discusses various topics and is either real or fake.,Real
News Article Title 295,This is the content of the news article 295. It discusses various topics and is either real or fake.,Real
News Article Title 296,This is the content of the news article 296. It discusses various topics and is either real or fake.,Real
News Article Title 297,This is the content of the news article 297. It discusses various topics and is either real or fake.,Fake
News Article Title 298,This is the content of the news article 298. It discusses various topics and is either real or fake.,Fake
News Article Title 299,This is the content of the news article 299. It discusses various topics and is either real or fake.,Real
News Article Title 300,This is the content of the news article 300. It discusses various topics and is either real or fake.,Fake
News Article Title 301,This is the content of the news article 301. It discusses various topics and is either real or fake.,Fake
News Article Title 302,This is the content of the news article 302. It discusses various topics and is either real or fake.,Fake
News Article Title 303,This is the content of the news article 303. It discusses various topics and is either real or fake.,Real
News Article Title 304,This is the content of the news article 304. It discusses various topics and is either real or fake.,Real
News Article Title 305,This is the content of the news article 305. It discusses various topics and is either real or fake.,Fake
News Article Title 306,This is the content of the news article 306. It discusses various topics and is either real or fake.,Real
News Article Title 307,This is the content of the news article 307. It discusses various topics and is either real or fake.,Real
News Article Title 308,This is the content of the news article 308. It discusses various topics and is either real or fake.,Real
News Article Title 309,This is the content of the news article 309. It discusses various topics and is either real or fake.,Real
News Article Title 310,This is the content of the news article 310. It discusses various topics and is either real or fake.,Real
News Article Title 311,This is the content of the news article 311. It discusses various topics and is either real or fake.,Fake
News Article Title 312,This is the content of the news article 312. It discusses various topics and is either real or fake.,Real
News Article Title 313,This is the content of the news article 313. It discusses various topics and is either real or fake.,Fake
News Article Title 314,This is the content of the news article 314. It discusses various topics and is either real or fake.,Fake
News Article Title 315,This is the content of the news article 315. It discusses various topics and is either real or fake.,Real
News Article Title 316,This is the content of the news article 316. It discusses various topics and is either real or fake.,Fake
News Article Title 317,This is the content of the news article 317. It discusses various topics and is either real or fake.,Fake
News Article Title 318,This is the content of the news article 318. It discusses various topics and is either real or fake.,Fake
News Article Title 319,This is the content of the news article 319. It discusses various topics and is either real or fake.,Real
News Article Title 320,This is the content of the news article 320. It discusses various topics and is either real or fake.,Real
News Article Title 321,This is the content of the news article 321. It discusses various topics and is either real or fake.,Fake
News Article Title 322,This is the content of the news article 322. It discusses various topics and is either real or fake.,Real
News Article Title 323,This is the content of the news article 323. It discusses various topics and is either real or fake.,Real
News Article Title 324,This is the content of the news article 324. It discusses various topics and is either real or fake.,Real
News Article Title 325,This is the content of the news article 325. It discusses various topics and is either real or fake.,Real
News Article Title 326,This is the content of the news article 326. It discusses various topics and is either real or fake.,Fake
News Article Title 327,This is the content of the news article 327. It discusses various topics and is either real or fake.,Fake
News Article Title 328,This is the content of the news article 328. It discusses various topics and is either real or fake.,Real
News Article Title 329,This is the content of the news article 329. It discusses various topics and is either real or fake.,Real
News Article Title 330,This is the content of the news article 330. It discusses various topics and is either real or fake.,Fake
News Article Title 331,This is the content of the news article 331. It discusses various topics and is either real or fake.,Fake
News Article Title 332,This is the content of the news article 332. It discusses various topics and is either real or fake.,Real
News Article Title 333,This is the content of the news article 333. It discusses various topics and is either real or fake.,Fake
News Article Title 334,This is the content of the news article 334. It discusses various topics and is either real or fake.,Real
News Article Title 335,This is the content of the news article 335. It discusses various topics and is either real or fake.,Real
News Article Title 336,This is the content of the news article 336. It discusses various topics and is either real or fake.,Fake
News Article Title 337,This is the content of the news article 337. It discusses various topics and is either real or fake.,Fake
News Article Title 338,This is the content of the news article 338. It discusses various topics and is either real or fake.,Real
News Article Title 339,This is the content of the news article 339. It discusses various topics and is either real or fake.,Real
News Article Title 340,This is the content of the news article 340. It discusses various topics and is either real or fake.,Fake
News Article Title 341,This is the content of the news article 341. It discusses various topics and is either real or fake.,Real
News Article Title 342,This is the content of the news article 342. It discusses various topics and is either real or fake.,Fake
News Article Title 343,This is the content of the news article 343. It discusses various topics and is either real or fake.,Real
News Article Title 344,This is the content of the news article 344. It discusses various topics and is either real or fake.,Fake
News Article Title 345,This is the content of the news article 345. It discusses various topics and is either real or fake.,Fake
News Article Title 346,This is the content of the news article 346. It discusses various topics and is either real or fake.,Fake
News Article Title 347,This is the content of the news article 347. It discusses various topics and is either real or fake.,Real
News Article Title 348,This is the content of the news article 348. It discusses various topics and is either real or fake.,Real
News Article Title 349,This is the content of the news article 349. It discusses various topics and is either real or fake.,Fake
News Article Title 350,This is the content of the news article 350. It discusses various topics and is either real or fake.,Real
